question_id,forecast_source,forecast_version,option,probability,forecast_date
bfg_q13,bioscancast,2026-07-22,"3,000 to 6,999",0.32351521061450933,2026-07-22
bfg_q13,bioscancast,2026-07-22,"7,000 to 11,999",0.2684615057154884,2026-07-22
bfg_q13,bioscancast,2026-07-22,"12,000 to 19,999",0.14913391663717512,2026-07-22
bfg_q13,bioscancast,2026-07-22,"20,000 or more",0.08207155717977803,2026-07-22
bfg_q13,bioscancast_baseline,2026-07-22,"under 3,000",0.4,2026-07-22
bfg_q13,bioscancast_baseline,2026-07-22,"3,000 to 6,999",0.3,2026-07-22
bfg_q13,bioscancast_baseline,2026-07-22,"7,000 to 11,999",0.15,2026-07-22
bfg_q13,bioscancast_baseline,2026-07-22,"12,000 to 19,999",0.1,2026-07-22
bfg_q13,bioscancast_baseline,2026-07-22,"20,000 or more",0.05,2026-07-22
bfg_q14,bioscancast,2026-07-22,"under 3,000",0.8242456679613765,2026-07-22
bfg_q14,bioscancast,2026-07-22,"3,000 to 3,999",0.13925635129215036,2026-07-22
bfg_q14,bioscancast,2026-07-22,"4,000 to 5,499",0.032795151627732375,2026-07-22
bfg_q14,bioscancast,2026-07-22,"5,500 to 7,999",0.003305544149621926,2026-07-22
bfg_q14,bioscancast,2026-07-22,"8,000 or more",0.00039728496911869943,2026-07-22
bfg_q14,bioscancast_baseline,2026-07-22,"under 3,000",0.4,2026-07-22
bfg_q14,bioscancast_baseline,2026-07-22,"3,000 to 3,999",0.3,2026-07-22
bfg_q14,bioscancast_baseline,2026-07-22,"4,000 to 5,499",0.15,2026-07-22
bfg_q14,bioscancast_baseline,2026-07-22,"5,500 to 7,999",0.1,2026-07-22
bfg_q14,bioscancast_baseline,2026-07-22,"8,000 or more",0.05,2026-07-22
bfg_q15,bioscancast,2026-07-22,YES,0.19936771286075058,2026-07-22
bfg_q15,bioscancast,2026-07-22,NO,0.8006322871392494,2026-07-22
bfg_q15,bioscancast_baseline,2026-07-22,YES,0.6,2026-07-22
bfg_q15,bioscancast_baseline,2026-07-22,NO,0.4,2026-07-22
bfg_q16,bioscancast,2026-07-22,0,0.9423727253694767,2026-07-22
bfg_q16,bioscancast,2026-07-22,1,0.041326979413591425,2026-07-22
bfg_q16,bioscancast,2026-07-22,2 to 3,0.014480487146127,2026-07-22
bfg_q16,bioscancast,2026-07-22,4 to 6,0.0015282414459344114,2026-07-22
bfg_q16,bioscancast,2026-07-22,7 or more,0.0002915666248702368,2026-07-22
bfg_q16,bioscancast_baseline,2026-07-22,0,0.6,2026-07-22
bfg_q16,bioscancast_baseline,2026-07-22,1,0.2,2026-07-22
bfg_q16,bioscancast_baseline,2026-07-22,2 to 3,0.1,2026-07-22
bfg_q16,bioscancast_baseline,2026-07-22,4 to 6,0.05,2026-07-22
bfg_q16,bioscancast_baseline,2026-07-22,7 or more,0.05,2026-07-22
bfg_q17,bioscancast,2026-07-22,"under 175,000",0.05181754763102559,2026-07-22
bfg_q17,bioscancast,2026-07-22,"175,000 to 274,999",0.10363509526205118,2026-07-22
bfg_q17,bioscancast,2026-07-22,"275,000 to 399,999",0.2555861232596591,2026-07-22
bfg_q17,bioscancast,2026-07-22,"400,000 to 599,999",0.34219554498755717,2026-07-22
bfg_q17,bioscancast,2026-07-22,"600,000 or more",0.2467656888597069,2026-07-22
bfg_q17,bioscancast_baseline,2026-07-22,"under 175,000",0.25,2026-07-22
bfg_q17,bioscancast_baseline,2026-07-22,"175,000 to 274,999",0.35,2026-07-22
bfg_q17,bioscancast_baseline,2026-07-22,"275,000 to 399,999",0.2,2026-07-22
bfg_q17,bioscancast_baseline,2026-07-22,"400,000 to 599,999",0.15,2026-07-22
bfg_q17,bioscancast_baseline,2026-07-22,"600,000 or more",0.05,2026-07-22
bfg_q18,bioscancast,2026-07-22,under 1.5M,0.07743546860446898,2026-07-22
bfg_q18,bioscancast,2026-07-22,1.5M to 1.99M,0.21363858644227068,2026-07-22
bfg_q18,bioscancast,2026-07-22,2.0M to 2.99M,0.3758352863407321,2026-07-22
bfg_q18,bioscancast,2026-07-22,3.0M to 4.49M,0.1977984333113981,2026-07-22
bfg_q18,bioscancast,2026-07-22,4.5M or more,0.13529222530113016,2026-07-22
bfg_q18,bioscancast_baseline,2026-07-22,under 1.5M,0.25,2026-07-22
bfg_q18,bioscancast_baseline,2026-07-22,1.5M to 1.99M,0.3,2026-07-22
bfg_q18,bioscancast_baseline,2026-07-22,2.0M to 2.99M,0.2,2026-07-22
bfg_q18,bioscancast_baseline,2026-07-22,3.0M to 4.49M,0.15,2026-07-22
bfg_q18,bioscancast_baseline,2026-07-22,4.5M or more,0.1,2026-07-22
bfg_q19,bioscancast,2026-07-22,0,0.4383299113941283,2026-07-22
bfg_q19,bioscancast,2026-07-22,1,0.2483210548987621,2026-07-22
bfg_q19,bioscancast,2026-07-22,2 to 3,0.215792650828602,2026-07-22
bfg_q19,bioscancast,2026-07-22,4 to 5,0.07418847693955966,2026-07-22
bfg_q19,bioscancast,2026-07-22,6 or more,0.02336790593894791,2026-07-22
bfg_q19,bioscancast_baseline,2026-07-22,0,0.4,2026-07-22
bfg_q19,bioscancast_baseline,2026-07-22,1,0.3,2026-07-22
bfg_q19,bioscancast_baseline,2026-07-22,2 to 3,0.2,2026-07-22
bfg_q19,bioscancast_baseline,2026-07-22,4 to 5,0.1,2026-07-22
bfg_q19,bioscancast_baseline,2026-07-22,6 or more,0.0,2026-07-22
bfg_q2,bioscancast,2026-07-22,under 750,0.9496015155105433,2026-07-22
bfg_q2,bioscancast,2026-07-22,"750 to 1,499",0.047051806195891464,2026-07-22
bfg_q2,bioscancast,2026-07-22,"1,500 to 2,999",0.002987603466094478,2026-07-22
bfg_q2,bioscancast,2026-07-22,"3,000 to 4,999",0.00035907248460197394,2026-07-22
bfg_q2,bioscancast,2026-07-22,"5,000 or more",2.342868751337291e-09,2026-07-22
bfg_q2,bioscancast_baseline,2026-07-22,under 750,0.2,2026-07-22
bfg_q2,bioscancast_baseline,2026-07-22,"750 to 1,499",0.3,2026-07-22
bfg_q2,bioscancast_baseline,2026-07-22,"1,500 to 2,999",0.25,2026-07-22
bfg_q2,bioscancast_baseline,2026-07-22,"3,000 to 4,999",0.15,2026-07-22
bfg_q2,bioscancast_baseline,2026-07-22,"5,000 or more",0.1,2026-07-22
bfg_q20,bioscancast,2026-07-22,8 or fewer,0.28180645817251493,2026-07-22
bfg_q20,bioscancast,2026-07-22,9 to 11,0.31525376856471604,2026-07-22
bfg_q20,bioscancast,2026-07-22,12 to 14,0.22366993407724126,2026-07-22
bfg_q20,bioscancast,2026-07-22,15 to 17,0.11723621097524024,2026-07-22
bfg_q20,bioscancast,2026-07-22,18 or more,0.06203362821028741,2026-07-22
bfg_q20,bioscancast_baseline,2026-07-22,8 or fewer,0.25,2026-07-22
bfg_q20,bioscancast_baseline,2026-07-22,9 to 11,0.35,2026-07-22
bfg_q20,bioscancast_baseline,2026-07-22,12 to 14,0.2,2026-07-22
bfg_q20,bioscancast_baseline,2026-07-22,15 to 17,0.1,2026-07-22
bfg_q20,bioscancast_baseline,2026-07-22,18 or more,0.1,2026-07-22
bfg_q21,bioscancast,2026-07-22,YES,0.22306939597028314,2026-07-22
bfg_q21,bioscancast,2026-07-22,NO,0.7769306040297168,2026-07-22
bfg_q21,bioscancast_baseline,2026-07-22,YES,0.3,2026-07-22
bfg_q21,bioscancast_baseline,2026-07-22,NO,0.7,2026-07-22
bfg_q22,bioscancast,2026-07-22,15 or fewer,0.42810355440363906,2026-07-22
bfg_q22,bioscancast,2026-07-22,16 to 30,0.3343046381734782,2026-07-22
bfg_q22,bioscancast,2026-07-22,31 to 50,0.14098172599869682,2026-07-22
bfg_q22,bioscancast,2026-07-22,51 to 79,0.06317961760683813,2026-07-22
bfg_q22,bioscancast,2026-07-22,80 or more,0.03343046381734781,2026-07-22
bfg_q22,bioscancast_baseline,2026-07-22,15 or fewer,0.6,2026-07-22
bfg_q22,bioscancast_baseline,2026-07-22,16 to 30,0.2,2026-07-22
bfg_q22,bioscancast_baseline,2026-07-22,31 to 50,0.1,2026-07-22
bfg_q22,bioscancast_baseline,2026-07-22,51 to 79,0.05,2026-07-22
bfg_q22,bioscancast_baseline,2026-07-22,80 or more,0.05,2026-07-22
bfg_q23,bioscancast,2026-07-22,YES,0.6565701595312607,2026-07-22
bfg_q23,bioscancast,2026-07-22,NO,0.3434298404687392,2026-07-22
bfg_q23,bioscancast_baseline,2026-07-22,YES,0.6,2026-07-22
bfg_q23,bioscancast_baseline,2026-07-22,NO,0.4,2026-07-22
bfg_q24,bioscancast,2026-07-22,"under 250,000",0.15889082887878217,2026-07-22
bfg_q24,bioscancast,2026-07-22,"250,000 to 374,999",0.2860252860451386,2026-07-22
bfg_q24,bioscancast,2026-07-22,"375,000 to 524,999",0.25222346891027797,2026-07-22
bfg_q24,bioscancast,2026-07-22,"525,000 to 749,999",0.16884670087256576,2026-07-22
bfg_q24,bioscancast,2026-07-22,"750,000 or more",0.1340137152932354,2026-07-22
bfg_q24,bioscancast_baseline,2026-07-22,"under 250,000",0.4,2026-07-22
bfg_q24,bioscancast_baseline,2026-07-22,"250,000 to 374,999",0.3,2026-07-22
bfg_q24,bioscancast_baseline,2026-07-22,"375,000 to 524,999",0.15,2026-07-22
bfg_q24,bioscancast_baseline,2026-07-22,"525,000 to 749,999",0.1,2026-07-22
bfg_q24,bioscancast_baseline,2026-07-22,"750,000 or more",0.05,2026-07-22
bfg_q25,bioscancast,2026-07-22,"under 2,000",0.07713899503082301,2026-07-22
bfg_q25,bioscancast,2026-07-22,"2,000 to 2,999",0.23046070565051985,2026-07-22
bfg_q25,bioscancast,2026-07-22,"3,000 to 3,999",0.33783170516920613,2026-07-22
bfg_q25,bioscancast,2026-07-22,"4,000 to 5,499",0.20938744703809287,2026-07-22
bfg_q25,bioscancast,2026-07-22,"5,500 or more",0.14518114711135816,2026-07-22
bfg_q25,bioscancast_baseline,2026-07-22,"under 2,000",0.25,2026-07-22
bfg_q25,bioscancast_baseline,2026-07-22,"2,000 to 2,999",0.35,2026-07-22
bfg_q25,bioscancast_baseline,2026-07-22,"3,000 to 3,999",0.2,2026-07-22
bfg_q25,bioscancast_baseline,2026-07-22,"4,000 to 5,499",0.1,2026-07-22
bfg_q25,bioscancast_baseline,2026-07-22,"5,500 or more",0.1,2026-07-22
bfg_q3,bioscancast,2026-07-22,YES,0.5671690256229078,2026-07-22
bfg_q3,bioscancast,2026-07-22,NO,0.43283097437709217,2026-07-22
bfg_q3,bioscancast_baseline,2026-07-22,YES,0.4,2026-07-22
bfg_q3,bioscancast_baseline,2026-07-22,NO,0.6,2026-07-22
bfg_q4,bioscancast,2026-07-22,exactly 1,0.7858858612560996,2026-07-22
bfg_q4,bioscancast,2026-07-22,2,0.15889040989940773,2026-07-22
bfg_q4,bioscancast,2026-07-22,3,0.044856480107705266,2026-07-22
bfg_q4,bioscancast,2026-07-22,4 or more,0.010367248736787465,2026-07-22
bfg_q4,bioscancast_baseline,2026-07-22,exactly 1,0.25,2026-07-22
bfg_q4,bioscancast_baseline,2026-07-22,2,0.35,2026-07-22
bfg_q4,bioscancast_baseline,2026-07-22,3,0.25,2026-07-22
bfg_q4,bioscancast_baseline,2026-07-22,4 or more,0.15,2026-07-22
bfg_q5,bioscancast,2026-07-22,"trials ongoing, no efficacy results reported",0.3334540135663898,2026-07-22
bfg_q5,bioscancast,2026-07-22,interim efficacy results reported from any BVD vaccine or therapeutic trial,0.4056269333490913,2026-07-22
bfg_q5,bioscancast,2026-07-22,emergency use authorization or WHO emergency use listing granted for any BVD vaccine or therapeutic,0.16829999597052833,2026-07-22
bfg_q5,bioscancast,2026-07-22,vaccine or therapeutic deployed at scale in affected countries beyond the trials,0.0926190571139906,2026-07-22
bfg_q5,bioscancast_baseline,2026-07-22,"trials ongoing, no efficacy results reported",0.4,2026-07-22
bfg_q5,bioscancast_baseline,2026-07-22,interim efficacy results reported from any BVD vaccine or therapeutic trial,0.3,2026-07-22
bfg_q5,bioscancast_baseline,2026-07-22,emergency use authorization or WHO emergency use listing granted for any BVD vaccine or therapeutic,0.2,2026-07-22
bfg_q5,bioscancast_baseline,2026-07-22,vaccine or therapeutic deployed at scale in affected countries beyond the trials,0.1,2026-07-22
bfg_q6,bioscancast,2026-07-22,0 to 4,0.8977550329675407,2026-07-22
bfg_q6,bioscancast,2026-07-22,5 to 14,0.0915258366734664,2026-07-22
bfg_q6,bioscancast,2026-07-22,15 to 29,0.009225226258731246,2026-07-22
bfg_q6,bioscancast,2026-07-22,30 to 59,0.0011671285757120058,2026-07-22
bfg_q6,bioscancast,2026-07-22,60 or more,0.00032677552454963996,2026-07-22
bfg_q6,bioscancast_baseline,2026-07-22,0 to 4,0.5,2026-07-22
bfg_q6,bioscancast_baseline,2026-07-22,5 to 14,0.3,2026-07-22
bfg_q6,bioscancast_baseline,2026-07-22,15 to 29,0.1,2026-07-22
bfg_q6,bioscancast_baseline,2026-07-22,30 to 59,0.05,2026-07-22
bfg_q6,bioscancast_baseline,2026-07-22,60 or more,0.05,2026-07-22
bfg_q7,bioscancast,2026-07-22,YES,0.0302013422818792,2026-07-22
bfg_q7,bioscancast,2026-07-22,NO,0.9697986577181208,2026-07-22
bfg_q7,bioscancast_baseline,2026-07-22,YES,0.3,2026-07-22
bfg_q7,bioscancast_baseline,2026-07-22,NO,0.7,2026-07-22
bfg_q8,bioscancast,2026-07-22,H5N1,0.9803899540278997,2026-07-22
bfg_q8,bioscancast,2026-07-22,H5N5,0.0038396538777188288,2026-07-22
bfg_q8,bioscancast,2026-07-22,Another H5Nx,0.009675321489696851,2026-07-22
bfg_q8,bioscancast,2026-07-22,No human H5 cases reported in the period,0.0060950706046846385,2026-07-22
bfg_q8,bioscancast_baseline,2026-07-22,H5N1,0.6,2026-07-22
bfg_q8,bioscancast_baseline,2026-07-22,H5N5,0.1,2026-07-22
bfg_q8,bioscancast_baseline,2026-07-22,Another H5Nx,0.2,2026-07-22
bfg_q8,bioscancast_baseline,2026-07-22,No human H5 cases reported in the period,0.1,2026-07-22
bfg_q9,bioscancast,2026-07-22,exactly 20,0.08091843702873101,2026-07-22
bfg_q9,bioscancast,2026-07-22,21 to 23,0.1995620264362062,2026-07-22
bfg_q9,bioscancast,2026-07-22,24 to 26,0.39004989006789303,2026-07-22
bfg_q9,bioscancast,2026-07-22,27 or more,0.32946964646716964,2026-07-22
bfg_q9,bioscancast_baseline,2026-07-22,exactly 20,0.15,2026-07-22
bfg_q9,bioscancast_baseline,2026-07-22,21 to 23,0.25,2026-07-22
bfg_q9,bioscancast_baseline,2026-07-22,24 to 26,0.3,2026-07-22
bfg_q9,bioscancast_baseline,2026-07-22,27 or more,0.3,2026-07-22
bfg_q1,bioscancast,2026-08-04,"under 2,500",0.00029772221727926527,2026-08-04
bfg_q1,bioscancast,2026-08-04,"2,500 to 4,999",0.41962748086794266,2026-08-04
bfg_q1,bioscancast,2026-08-04,"5,000 to 9,999",0.438727210520748,2026-08-04
bfg_q1,bioscancast,2026-08-04,"10,000 to 19,999",0.14119548816514052,2026-08-04
bfg_q1,bioscancast,2026-08-04,"20,000 or more",0.00015209822888948246,2026-08-04
bfg_q1,bioscancast_baseline,2026-08-04,"under 2,500",0.25,2026-08-04
bfg_q1,bioscancast_baseline,2026-08-04,"2,500 to 4,999",0.35,2026-08-04
bfg_q1,bioscancast_baseline,2026-08-04,"5,000 to 9,999",0.2,2026-08-04
bfg_q1,bioscancast_baseline,2026-08-04,"10,000 to 19,999",0.1,2026-08-04
bfg_q1,bioscancast_baseline,2026-08-04,"20,000 or more",0.1,2026-08-04
bfg_q2,bioscancast,2026-08-04,under 750,6.617806095858008e-08,2026-08-04
bfg_q2,bioscancast,2026-08-04,"750 to 1,499",2.1851514275814516e-07,2026-08-04
bfg_q2,bioscancast,2026-08-04,"1,500 to 2,999",4.0250833442545344e-07,2026-08-04
bfg_q2,bioscancast,2026-08-04,"3,000 to 4,999",0.7532425661686669,2026-08-04
bfg_q2,bioscancast,2026-08-04,"5,000 or more",0.24675674662979488,2026-08-04
bfg_q2,bioscancast_baseline,2026-08-04,under 750,0.2,2026-08-04
bfg_q2,bioscancast_baseline,2026-08-04,"750 to 1,499",0.3,2026-08-04
bfg_q2,bioscancast_baseline,2026-08-04,"1,500 to 2,999",0.25,2026-08-04
bfg_q2,bioscancast_baseline,2026-08-04,"3,000 to 4,999",0.15,2026-08-04
bfg_q2,bioscancast_baseline,2026-08-04,"5,000 or more",0.1,2026-08-04
bfg_q3,bioscancast,2026-08-04,YES,0.17256115514831757,2026-08-04
bfg_q3,bioscancast,2026-08-04,NO,0.8274388448516824,2026-08-04
bfg_q3,bioscancast_baseline,2026-08-04,YES,0.4,2026-08-04
bfg_q3,bioscancast_baseline,2026-08-04,NO,0.6,2026-08-04
bfg_q4,bioscancast,2026-08-04,exactly 1,0.77210212715397,2026-08-04
bfg_q4,bioscancast,2026-08-04,2,0.18114219840059248,2026-08-04
bfg_q4,bioscancast,2026-08-04,3,0.03797814860691467,2026-08-04
bfg_q4,bioscancast,2026-08-04,4 or more,0.008777525838522716,2026-08-04
bfg_q4,bioscancast_baseline,2026-08-04,exactly 1,0.4,2026-08-04
bfg_q4,bioscancast_baseline,2026-08-04,2,0.3,2026-08-04
bfg_q4,bioscancast_baseline,2026-08-04,3,0.2,2026-08-04
bfg_q4,bioscancast_baseline,2026-08-04,4 or more,0.1,2026-08-04
bfg_q5,bioscancast,2026-08-04,"trials ongoing, no efficacy results reported",0.36189224250923124,2026-08-04
bfg_q5,bioscancast,2026-08-04,interim efficacy results reported from any BVD vaccine or therapeutic trial,0.3536645521393122,2026-08-04
bfg_q5,bioscancast,2026-08-04,emergency use authorization or WHO emergency use listing granted for any BVD vaccine or therapeutic,0.16797549918019353,2026-08-04
bfg_q5,bioscancast,2026-08-04,vaccine or therapeutic deployed at scale in affected countries beyond the trials,0.11646770617126301,2026-08-04
bfg_q5,bioscancast_baseline,2026-08-04,"trials ongoing, no efficacy results reported",0.4,2026-08-04
bfg_q5,bioscancast_baseline,2026-08-04,interim efficacy results reported from any BVD vaccine or therapeutic trial,0.3,2026-08-04
bfg_q5,bioscancast_baseline,2026-08-04,emergency use authorization or WHO emergency use listing granted for any BVD vaccine or therapeutic,0.2,2026-08-04
bfg_q5,bioscancast_baseline,2026-08-04,vaccine or therapeutic deployed at scale in affected countries beyond the trials,0.1,2026-08-04
bfg_q6,bioscancast,2026-08-04,0 to 4,0.906489618064563,2026-08-04
bfg_q6,bioscancast,2026-08-04,5 to 14,0.0859984643989888,2026-08-04
bfg_q6,bioscancast,2026-08-04,15 to 29,0.006336421033611567,2026-08-04
bfg_q6,bioscancast,2026-08-04,30 to 59,0.0008599846439898876,2026-08-04
bfg_q6,bioscancast,2026-08-04,60 or more,0.00031551185884679575,2026-08-04
bfg_q6,bioscancast_baseline,2026-08-04,0 to 4,0.5,2026-08-04
bfg_q6,bioscancast_baseline,2026-08-04,5 to 14,0.3,2026-08-04
bfg_q6,bioscancast_baseline,2026-08-04,15 to 29,0.15,2026-08-04
bfg_q6,bioscancast_baseline,2026-08-04,30 to 59,0.04,2026-08-04
bfg_q6,bioscancast_baseline,2026-08-04,60 or more,0.01,2026-08-04
bfg_q7,bioscancast,2026-08-04,YES,0.0337766500778186,2026-08-04
bfg_q7,bioscancast,2026-08-04,NO,0.9662233499221814,2026-08-04
bfg_q7,bioscancast_baseline,2026-08-04,YES,0.3,2026-08-04
bfg_q7,bioscancast_baseline,2026-08-04,NO,0.7,2026-08-04
bfg_q8,bioscancast,2026-08-04,H5N1,0.9867617248815189,2026-08-04
bfg_q8,bioscancast,2026-08-04,H5N5,0.0012158698115437227,2026-08-04
bfg_q8,bioscancast,2026-08-04,Another H5Nx,0.003063799938991297,2026-08-04
bfg_q8,bioscancast,2026-08-04,No human H5 cases reported in the period,0.008958605367946052,2026-08-04
bfg_q8,bioscancast_baseline,2026-08-04,H5N1,0.6,2026-08-04
bfg_q8,bioscancast_baseline,2026-08-04,H5N5,0.2,2026-08-04
bfg_q8,bioscancast_baseline,2026-08-04,Another H5Nx,0.15,2026-08-04
bfg_q8,bioscancast_baseline,2026-08-04,No human H5 cases reported in the period,0.05,2026-08-04
bfg_q9,bioscancast,2026-08-04,exactly 20,0.11669523453014656,2026-08-04
bfg_q9,bioscancast,2026-08-04,21 to 23,0.2980821964527638,2026-08-04
bfg_q9,bioscancast,2026-08-04,24 to 26,0.3567993702467486,2026-08-04
bfg_q9,bioscancast,2026-08-04,27 or more,0.22842319877034095,2026-08-04
bfg_q9,bioscancast_baseline,2026-08-04,exactly 20,0.15,2026-08-04
bfg_q9,bioscancast_baseline,2026-08-04,21 to 23,0.25,2026-08-04
bfg_q9,bioscancast_baseline,2026-08-04,24 to 26,0.3,2026-08-04
bfg_q9,bioscancast_baseline,2026-08-04,27 or more,0.3,2026-08-04
bfg_q10,bioscancast,2026-08-04,0,0.7716472964250396,2026-08-04
bfg_q10,bioscancast,2026-08-04,1,0.21478684420070437,2026-08-04
bfg_q10,bioscancast,2026-08-04,2 or more,0.013565859374256067,2026-08-04
bfg_q10,bioscancast_baseline,2026-08-04,0,0.4,2026-08-04
bfg_q10,bioscancast_baseline,2026-08-04,1,0.3,2026-08-04
bfg_q10,bioscancast_baseline,2026-08-04,2 or more,0.3,2026-08-04
bfg_q11,bioscancast,2026-08-04,"under 200,000",0.10000000000000002,2026-08-04
bfg_q11,bioscancast,2026-08-04,"200,000 to 299,999",0.4,2026-08-04
bfg_q11,bioscancast,2026-08-04,"300,000 to 449,999",0.3,2026-08-04
bfg_q11,bioscancast,2026-08-04,"450,000 to 649,999",0.15,2026-08-04
bfg_q11,bioscancast,2026-08-04,"650,000 or more",0.05000000000000001,2026-08-04
bfg_q11,bioscancast_baseline,2026-08-04,"under 200,000",0.4,2026-08-04
bfg_q11,bioscancast_baseline,2026-08-04,"200,000 to 299,999",0.3,2026-08-04
bfg_q11,bioscancast_baseline,2026-08-04,"300,000 to 449,999",0.2,2026-08-04
bfg_q11,bioscancast_baseline,2026-08-04,"450,000 to 649,999",0.05,2026-08-04
bfg_q11,bioscancast_baseline,2026-08-04,"650,000 or more",0.05,2026-08-04
bfg_q12,bioscancast,2026-08-04,YES,0.08401438504488339,2026-08-04
bfg_q12,bioscancast,2026-08-04,NO,0.9159856149551165,2026-08-04
bfg_q12,bioscancast_baseline,2026-08-04,YES,0.3,2026-08-04
bfg_q12,bioscancast_baseline,2026-08-04,NO,0.7,2026-08-04
bfg_q13,bioscancast,2026-08-04,"under 3,000",0.20280471271217482,2026-08-04
bfg_q13,bioscancast,2026-08-04,"3,000 to 6,999",0.39638781641617304,2026-08-04
bfg_q13,bioscancast,2026-08-04,"7,000 to 11,999",0.24045157492165503,2026-08-04
bfg_q13,bioscancast,2026-08-04,"12,000 to 19,999",0.1053062274585575,2026-08-04
bfg_q13,bioscancast,2026-08-04,"20,000 or more",0.055049668491439614,2026-08-04
bfg_q13,bioscancast_baseline,2026-08-04,"under 3,000",0.4,2026-08-04
bfg_q13,bioscancast_baseline,2026-08-04,"3,000 to 6,999",0.3,2026-08-04
bfg_q13,bioscancast_baseline,2026-08-04,"7,000 to 11,999",0.15,2026-08-04
bfg_q13,bioscancast_baseline,2026-08-04,"12,000 to 19,999",0.1,2026-08-04
bfg_q13,bioscancast_baseline,2026-08-04,"20,000 or more",0.05,2026-08-04
bfg_q14,bioscancast,2026-08-04,"under 3,000",0.9991868745647994,2026-08-04
bfg_q14,bioscancast,2026-08-04,"3,000 to 3,999",0.0007448112017397558,2026-08-04
bfg_q14,bioscancast,2026-08-04,"4,000 to 5,499",6.831423339740151e-05,2026-08-04
bfg_q14,bioscancast,2026-08-04,"5,500 to 7,999",3.170865829141966e-14,2026-08-04
bfg_q14,bioscancast,2026-08-04,"8,000 or more",3.170865829141966e-14,2026-08-04
bfg_q14,bioscancast_baseline,2026-08-04,"under 3,000",0.4,2026-08-04
bfg_q14,bioscancast_baseline,2026-08-04,"3,000 to 3,999",0.3,2026-08-04
bfg_q14,bioscancast_baseline,2026-08-04,"4,000 to 5,499",0.15,2026-08-04
bfg_q14,bioscancast_baseline,2026-08-04,"5,500 to 7,999",0.1,2026-08-04
bfg_q14,bioscancast_baseline,2026-08-04,"8,000 or more",0.05,2026-08-04
bfg_q15,bioscancast,2026-08-04,YES,0.8468319051371119,2026-08-04
bfg_q15,bioscancast,2026-08-04,NO,0.15316809486288804,2026-08-04
bfg_q15,bioscancast_baseline,2026-08-04,YES,0.6,2026-08-04
bfg_q15,bioscancast_baseline,2026-08-04,NO,0.4,2026-08-04
bfg_q16,bioscancast,2026-08-04,0,0.7932146404238636,2026-08-04
bfg_q16,bioscancast,2026-08-04,1,0.1420173595997385,2026-08-04
bfg_q16,bioscancast,2026-08-04,2 to 3,0.0593267571447585,2026-08-04
bfg_q16,bioscancast,2026-08-04,4 to 6,0.0037670142680580588,2026-08-04
bfg_q16,bioscancast,2026-08-04,7 or more,0.0016742285635813615,2026-08-04
